"s","type","a","b1","b2"
"82","a",-0.582634488696119,61.8963187766715,0.392166984497375
"84","p",-3.0473290038317,-87.9107060912961,44.8372108902197
"84","a",2.8371683828778,115.83584392914,29.0654881042752
"83","p",-1.59349109783312,24.6202643165053,-1.09489059635597
"83","a",1.68834175841834,-30.6799875410709,-21.9587569454828
"85","p",-0.551275161480806,-6.11485648073125,6.6055284687737
"85","a",0.532044632591951,17.2888660360832,-12.2795254107586
"87","p",-3.01964507644363,23.5776683587872,9.25144783256878
"87","a",3.01964507644365,-9.90911307736867,-44.0678132212299
"107","p",-2.70212257913254,33.7158807095091,-17.5975195904399
"107","a",2.57496386952633,83.0165200657717,2.54570271557358
"109","p",-0.0368980574308268,10.7700961666808,17.8642524393105
"109","a",0.0368980574308427,-9.10593162862183,2.83749379234245
"110","p",-0.683278196806158,-20.4353483111511,9.40324755021283
"110","a",0.667749146878738,-3.02045450638507,-24.3111407214669
"111","p",0.821644512758857,-15.2959510592208,-4.44598450430012
"111","a",-0.860310136888678,-2.46087405545422,-13.007586867953
"112","p",-1.36829859095235,-0.232329939846079,30.9502593160303
"112","a",1.38402616096337,107.116808664583,-28.7614509993583
"116","p",-3.46628958128764,71.000104815094,-41.7902621812423
"116","a",3.38660476332708,42.5463429408334,7.4226959798948
"115","p",0.54699269775263,25.5236632737479,21.0175149129859
"115","a",-0.515913567198407,13.5338473487507,-19.053504475067
"113","p",-5.13470348027398,52.4156888840274,-11.1844764202497
"113","a",5.51505188622019,19.4643028877623,-14.9182699078574
"114","p",-2.27103297135191,12.3384755186207,-38.010936690332
"114","a",2.19361139278307,2.17372273810081,-11.6054292661395
"118","p",-2.97179694389733,-35.8530041751497,2.35282476010964
"118","a",3.00717547894366,-18.0791182062374,-16.6484970640739
"119","p",4.11011081302951,-7.31152005706375,40.4511808898201
"119","a",-3.96999339894899,66.1069837418736,-32.6339050871844
"120","p",-0.953226147204273,0.454356962222591,20.2025190060363
"120","a",0.953226147204308,-1.46549682973673,-60.8671018906941
"121","p",-3.11947099660282,59.216481176743,10.6166278861738
"121","a",3.34772497196407,10.9401918900429,-16.7405203291171
"122","p",2.14972740178994,27.9779528630611,-23.4386001131726
"122","a",-2.17443691215532,1.19134032619235,-17.2989123166493
"123","p",-2.44137053156221,20.986492976452,14.3270631816411
"123","a",2.2493526245855,13.1033913856595,-50.1973373094715
