experiment,subject,first_type,pitch,ioi,tempo,tempo_range,loudness,type,true_score,response,rt,error,block,trial,test_correct,test_incorrect,test_skipped,extreme_responses,pearsonr,intercept,slope,residual,illusory_tempo,cooks
ITST,110,p,2,358,167.5977653631285,5,0,a,80.97360155738828,94,1023.8649999955668,13.026398442611722,5,157,5,1,0,7.0,0.9342490348854495,53.672314465637484,59.17477089453793,3.6705700156194325,6.202930674900578,0.0009456933244545632
ITST,110,p,7,599,100.1669449081803,3,0,a,43.84378078116181,17,10163.180000003194,-26.84378078116181,5,158,5,1,0,7.0,0.9342490348854495,53.672314465637484,59.17477089453793,-29.386457228611462,-49.660449519921926,0.01802412930239981
ITST,110,p,4,329,182.370820668693,5,1,a,87.06720173383901,96,1199.76999999932,8.932798266160987,5,159,5,1,0,7.0,0.9342490348854495,53.672314465637484,59.17477089453793,-1.5411778716683386,-2.604450931318427,2.1846504566839076e-05
ITST,110,p,5,918,65.359477124183,1,0,a,13.046873249910696,5,1347.7950000015553,-8.046873249910696,5,160,5,1,0,7.0,0.9342490348854495,53.672314465637484,59.17477089453793,-4.938458280170373,-8.34554693751457,0.001823089642942464
ITST,110,p,7,358,167.5977653631285,5,2,a,80.97360155738828,95,3784.12499999837,14.026398442611722,5,161,5,1,0,7.0,0.9342490348854495,53.672314465637484,59.17477089453793,4.6705700156194325,7.892840048241817,0.0014152447383294813
ITST,110,p,4,774,77.51937984496124,2,1,a,25.354902613380577,42,5364.859999994282,16.645097386619423,5,162,5,1,0,7.0,0.9342490348854495,53.672314465637484,59.17477089453793,17.49504536489811,29.565041149171524,0.010939585614583889
ITST,110,p,5,504,119.04761904761905,3,0,a,56.30039424560527,47,2609.6650000035297,-9.300394245605268,5,163,5,1,0,7.0,0.9342490348854495,53.672314465637484,59.17477089453793,-14.128802186216618,-23.876395248571654,0.004004869777037307
ITST,110,p,3,710,84.50704225352112,2,2,a,31.580629700998873,36,1005.2250000007916,4.419370299001127,5,164,5,1,0,7.0,0.9342490348854495,53.672314465637484,59.17477089453793,4.126925883663478,6.974130733887489,0.00045052292493471033
ITST,110,p,6,425,141.1764705882353,4,0,a,68.5984388693479,89,1049.7150000010151,20.401561130652098,5,165,5,1,0,7.0,0.9342490348854495,53.672314465637484,59.17477089453793,13.316518352567897,22.503709184275127,0.0056839338387704805
ITST,110,p,2,774,77.51937984496124,2,2,a,25.354902613380577,26,2020.1950000047216,0.6450973866194225,5,166,5,1,0,7.0,0.9342490348854495,53.672314465637484,59.17477089453793,1.495045364898111,2.526491175711691,4.882662034354741e-05
