subject,pitch,ioi,tempo,loudness,tap_condition,key_press,tap_times,true_score,response,rt,error,tapped,tap_type,block,trial,test_correct,test_incorrect,test_skipped,extreme_responses,pearsonr,intercept,slope,residual,cooks
1,5,710,2,2,False,,,31.58063,30.0,2363.4949999977835,-1.5806299999999993,False,0,0,17,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-2.4973453204972174,0.0006099243486683155
1,2,550,3,2,False,,,50.0,47.0,2237.1550000389107,-3.0,False,0,0,18,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-1.940838660086122,0.000152356409891777
1,5,302,5,1,False,,,93.24415,83.0,1861.54000001261,-10.244150000000005,False,0,0,19,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-4.546118740767142,0.0020272923343699696
1,7,710,2,0,False,,,31.58063,27.0,1554.550000000745,-4.580629999999999,False,0,0,20,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-5.497345320497217,0.002697632735709514
1,2,302,5,2,False,,,93.24415,73.0,1002.985000028275,-20.244150000000005,False,0,0,21,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-14.546118740767142,0.03631202827420506
1,6,390,4,1,False,,,74.79787,87.0,1096.5950000099838,12.202129999999997,False,0,0,22,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,15.921396509150952,0.02974321662016882
1,3,599,3,2,False,,,43.84378,50.0,891.2600000039674,6.156219999999998,False,0,0,23,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,6.5549925262549635,0.0025843611145747922
1,6,329,5,0,False,,,87.0672,50.0,6859.735000005458,-37.0672,False,0,0,24,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,-32.03177906322422,0.1591489023255486
1,5,425,4,1,False,,,68.59844,67.0,2160.6899999896996,-1.5984399999999965,False,0,0,25,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,1.4558084179382291,0.0004139224523590032
1,6,550,3,2,False,,,50.0,50.0,754.3799999984913,0.0,False,0,0,26,4,2,0,7.0,0.9169932084886164,455.2789762187333,-64.39673536831506,1.059161339913878,9.8487672596355e-05
