experiment,subject,pitch,ioi,tempo,tempo_range,loudness,tap_condition,key_press,tap_times,true_score,response,rt,error,tapped,tap_type,block,trial,test_correct,test_incorrect,test_skipped,extreme_responses,pearsonr,intercept,slope,residual,illusory_tempo,cooks
IT1,1,3,843,71.17437722419929,1,-13,True,,,19.194949373496982,22.0,2395.235000003595,2.805050626503018,False,1,0,26,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,-8.432635249651067,-15.948439735928904,0.017708103701391666
IT1,1,4,504,119.04761904761905,3,-13,True,,,56.30039424560527,50.0,561.8150000227615,-6.300394245605268,False,1,0,27,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,-5.39910806228346,-10.52753112563769,0.003769441319485519
IT1,1,3,329,182.370820668693,5,-19,True,,,87.06720173383901,74.0,2057.2599999723025,-13.067201733839013,False,1,0,28,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,-2.1006160305623354,-4.235634209182374,0.0028552514821984483
IT1,1,7,599,100.1669449081803,3,-16,True,,,43.84378078116181,50.0,627.4099999573082,6.156219218838189,False,1,0,29,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,2.9823492270555363,6.337319158220292,0.0005949311876177572
IT1,1,2,774,77.51937984496124,2,-19,True,,,25.354902613380577,27.0,2701.3799999840558,1.6450973866194225,False,1,0,30,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,-7.577372110257862,-14.454223473458844,0.011507714778173682
IT1,1,2,425,141.1764705882353,4,-13,True,"[74, 74, 74, 74, 74]","[368, 736, 1056, 1440, 1883]",68.5984388693479,70.0,2819.4950000033714,1.401561130652098,True,2,1,31,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,6.326128010064309,13.921434056027493,0.004368238706424105
IT1,1,5,504,119.04761904761905,3,-13,True,"[74, 74, 74, 74]","[293, 640, 1163, 1685]",56.30039424560527,50.0,1083.1449999823235,-6.300394245605268,True,2,1,32,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,-5.39910806228346,-10.52753112563769,0.003769441319485519
IT1,1,3,1000,60.0,1,-19,True,"[74, 74, 74]","[576, 2133, 3173]",6.875176187496734,22.0,2109.295000031125,15.124823812503266,True,2,1,33,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,-0.1432512154152228,-0.2947090580414032,3.7133548523542964e-05
IT1,1,7,710,84.50704225352112,2,-19,True,"[74, 74, 74, 74]","[347, 949, 1643, 2325]",31.580629700998873,50.0,1188.1050000083633,18.419370299001127,True,2,1,34,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,11.23363496410471,26.042565279359618,0.01679455801707935
IT1,1,6,918,65.359477124183,1,-19,True,"[74, 74, 74, 74, 74]","[21, 731, 2016, 2859, 3787]",13.046873249910696,23.0,2934.064999979455,9.953126750089304,True,2,1,35,6,0,0,29.0,0.9229684649662334,51.15987519002085,33.642600026336545,-3.295889930505407,-6.5651768892302025,0.003674598088757818
