"s","tap","a","b1","b2"
"1062","2",-1.08509789224515e-13,-1.32584291310268,-13.7633004959166
"1063","2",4.30975145361088e-14,8.8235024846474,-15.8596027771797
"1064","2",0.276392583909662,0.415928851584115,-8.5455076257422
"1065","0",-2.90342443524323e-14,14.8816019739099,-5.82816948253838
"1068","1",21.8553555218282,-17.2925104471562,17.7520445391807
"1068","2",-0.789952609222747,-9.87626885246511,-12.8225945644354
"1069","0",3.60277411403035e-14,-36.4867174204927,-57.6623369227571
"1070","2",1.56726070180747e-14,-13.7483253490219,17.5855943010656
"1071","0",1.67274090430521e-14,11.8039983985554,5.53877079615878
"1072","1",3.18186695419437,-11.4492499708566,16.3501842593278
"1072","2",-1.40217865778058,1.41575862405265,0.402499181511264
"1073","1",3.7944357556845,-74.3343014938937,-49.0986106200953
"1073","2",-7.06550106230895,17.4752287156068,-13.9541474537203
"1076","2",6.39889949357677e-14,50.2921263418141,-50.216621435641
"1077","0",7.18289300310716e-14,32.1018845528958,-26.9587164542826
"1078","0",4.50795617296421e-14,52.2073213853834,-37.7847708300556
"1079","0",-1.81172735509467e-15,17.7117478076045,-8.60488017667741
"1084","2",0.297917236030631,18.5785166908336,-11.7347792477055
"1085","0",3.82035110268213e-14,8.90705253933441,-18.0262642552164
"1086","0",-2.82409244377494e-14,10.012412459976,-17.6755970075307
"1087","2",-3.02862811156837e-14,19.8724570098738,-52.421701112053
"1089","1",1.06222876799117,-10.0223889402013,4.87597724164599
"1089","2",-0.387797804187306,3.04026840266369,6.29423449386998
"1090","1",0.312441760913452,25.4060651300549,-35.9776727783357
"1090","2",-1.92672419229979,-15.9489388454137,-1.5943362863199
"1091","1",1.73499436239844e-14,9.47812537486521,2.89534932504245
"1092","0",1.01440676125426e-14,32.1575953638672,9.78254322548344
"1093","0",-5.43931630192885e-14,-8.04289125022301,20.3138187697132
"1094","2",1.29762355762989e-14,-2.31078537276401,10.0640925935208
"1095","2",-3.35535931108138e-15,-1.37911178138534,6.89082017933807
"1097","2",0.326790189433464,20.5916640155649,2.91288104217672
"1098","0",-1.1487770321379e-14,1.27768960786298,-1.41842809165671
"1101","0",8.08979513814554e-15,44.589789600674,-24.6734069601971
"1102","0",-4.36597071950274e-15,21.6740080654627,-32.0174894354993
"1103","0",1.63334842303883e-14,7.66587803441199,-52.0739853375508
"1104","0",5.60581266749167e-14,6.9721619259166,-6.76837346152426
"1105","0",-3.65561256729163e-14,29.1729133885494,29.7396284597065
"1106","2",-0.616477342238538,-8.4023060738577,-19.7436055649199
"1107","1",-3.46228070557952,5.23272086764355,-18.5054965673856
"1107","2",6.25444256491791,10.2742135948168,-16.1368007517768
"1108","0",-1.84448405738803e-15,-7.00888333218952,-18.6859376532762
"1109","0",-7.18617278968362e-14,-18.4600588075643,1.20945574228007
"1110","1",-7.2790056573189,-7.71001941181668,32.521202541434
"1110","2",0.756260328033086,15.557124816835,32.9738934169558
"1112","2",8.35553939340173e-15,6.26836016445069,-13.0368279664002
"1113","0",-1.24360403307226e-14,-14.6724654887302,-14.1756486239988
"2002","1",-0.902367921172796,2.0052961215283,18.5532782002883
"2002","2",1.80473584234557,17.516706543779,-39.6218259852471
"2003","2",4.48093759536344e-14,29.9742528901931,-15.2677801947869
"2007","1",-2.11933689562347,10.2964555785258,-12.1908244572269
"2007","2",0.42386737912467,19.0565850168008,-4.76692123495566
"2008","0",-1.70046571090805e-14,-3.13250426482375,-34.9292052773913
"2010","1",-3.0563368637766,-21.562650119937,-3.8577664070279
"2010","2",1.79784521398627,-17.9476978162373,-14.3110026979139
"2011","0",-2.53085027969801e-15,-10.2818928035146,-4.91294116365605
"2012","1",0.828252337289468,21.2769368687777,-6.96959514962842
"2012","2",-5.107556079952,5.07231592510059,-6.01813767522585
"2014","1",-1.95676240608561,-10.8159065380179,7.72676689704715
"2014","2",0.177887491462267,26.4248864468417,19.1950660520801
"2013","0",3.43071986488553e-14,6.65203273341786,21.9871878953431
"2015","2",0.0959792456153621,-18.2529957848717,3.89731687357047
"2016","2",-6.02027315465564e-15,-33.0710652003992,-10.3825623623031
"2017","2",1.43762731595728e-14,-1.54589204877334,-8.7446277648046
"2004","1",-9.99455918927799,-5.59974399371407,-34.191547713548
"2004","2",2.71280892280408,1.66017796718931,9.68097881303044
"2018","0",-4.04892927851529e-14,3.55562106126527,-84.1404550531314
"2020","2",3.75173217159048e-14,16.0905532033417,21.7911019599341
"2027","0",-1.72549840282821e-14,-3.2095619860495,-7.63699998638416
"2028","2",4.54530072476196e-15,7.68024048522248,0.647056298981582
"2029","0",1.36689520991315e-14,-9.3382074540419,-20.2446318342722
"2030","0",1.70954968515876e-14,-2.32817167767959,-0.638429861084141
"2031","2",1.25724173560011e-14,0.854853999965577,-17.6784814039715
"2032","1",-0.79918492659334,40.2689897350482,-13.7788465838065
"2032","2",0.406365216911918,11.2295791869562,14.6832524261285
"2034","0",7.86858928424996e-14,-34.7512529267222,20.9830946407923
"2035","0",3.30389365805009e-14,2.15682461396579,15.3553353030928
"2036","0",-2.79008782635681e-14,-4.30456027041932,-34.5912654030904
"2037","0",1.5989309394859e-15,16.8713788401408,2.16271943067435
"2040","0",-1.3031398435963e-14,6.64934071074923,1.27692097929951
"2042","2",-2.8679111715053e-14,-12.2220227449605,-6.53740196760391
"2043","0",3.42875582800814e-14,-6.20742118930187,2.83379010715793
"2041","0",-8.81082735870426e-14,5.05082034096219,-14.1269506094106
"2044","2",-7.19260846893829e-16,-10.5423886561633,-6.07593232787071
"2045","0",-1.28903099107175e-14,-5.15765337842652,-1.97800805716868
"2046","1",-7.54250981575163e-14,-29.4799968984425,-3.48450659535713
"2047","0",6.79779544834682e-15,-2.56573292671291,12.9311142503471
"2048","2",7.13040275022072e-14,-10.84911007265,-11.9845870899639
"2049","2",-3.40945245038666e-14,36.026030384023,-30.0771795993946
"2053","0",-3.32350953404672e-14,-13.278910682273,12.3686724006247
"2050","2",-4.96978450316197e-14,28.2884277542961,-10.9965954042245
"2051","0",-5.99091941867061e-14,43.134194742134,-18.3667008480446
"2052","0",-2.76451385876682e-14,21.6632654958971,-23.6659308959066
"2055","1",4.62110924601209,-6.85981861521998,18.517579612017
"2055","2",-10.8418332310284,17.2313230374694,-28.1321665041601
"2056","0",2.20624523686857e-14,-1.30672351434038,-1.77617883247338
"2057","2",-0.0627795558906807,5.48702100283142,14.1917869972588
"2058","0",7.86663185998628e-15,-21.1581148053854,35.7911386302745
"2059","1",1.71615045697997,15.8937592566759,27.6705489397358
"2059","2",-0.111438341362336,89.3458315034999,-18.4674858417762
"2061","0",-2.52778451020938e-14,-11.588888658792,6.42289899806223
"2062","0",-4.80356453142046e-15,31.9002017664702,-18.057136607405
"2063","0",-1.96687688231597e-14,3.26972713673567,-4.33494842629892
"2066","0",-4.89163651687854e-14,3.5696541320341,-12.9055935395945
"2068","2",-3.15191487865846e-14,24.7303023452537,-27.045392873116
"2069","1",-0.152781994025539,14.3087007250243,-29.0958080208776
"2071","2",3.16038530390384e-15,19.5195373997136,-9.06438016517327
"2070","1",0.704639134204455,-19.8279758507628,1.41321351869938
"2070","2",-7.65036774279185,5.32661080062609,-29.5891756770145
"2073","0",1.76368978400064e-14,9.48623227101713,-6.30960868749135
"2076","0",-1.26130449794953e-14,3.54249590635492,-15.1355606182134
"2077","0",-1.77193298724732e-14,-12.8823700099811,17.4806015960464
"2078","2",-1.52737553104828e-14,-18.7793625637084,-35.0237114306656
"2079","0",4.26282770877763e-14,48.5330843716524,-16.6530939912176
"2081","1",0.369659174634878,20.6351235264523,-15.1118244597698
"2081","2",-0.867277294335642,10.679713084693,-5.89976713204078
"2082","2",-6.19841834618814e-15,13.1334607711815,-12.4299670861987
"2084","0",-4.3328393010202e-14,-41.6950058910754,-16.5305842866826
"2085","2",-0.179708174688727,-8.95833861402007,24.9009225404681
"2089","1",6.5709974169205e-14,11.9978031587301,-8.58759261393437
"2092","1",-5.93736186234365,-21.6354756478792,24.1390750481209
"2092","2",0.513105346128424,2.43212287093527,-44.4588892889503
"2093","0",-5.73454972446819e-14,-5.79418312569717,-0.832296742513747
"2096","0",-4.93138764242499e-14,10.6086280176697,-9.78603088067375
"2099","0",-4.90358921608378e-14,-1.36437708767397,0.103682239354191
"2100","0",5.11289748282884e-14,-7.8472875686789,-21.0401294908435
"2102","0",6.75912098684504e-15,15.0879584991802,-6.75487895978585
"2103","2",-0.1957133441864,8.26985168874686,-10.0259407377099
"2106","2",1.53039476177203e-14,-16.1717842131324,-14.2645742661326
"2107","2",-7.27902684295505e-15,3.53305871033932,21.3175545455777
