"s","a","b1","b2","b3","b4","b5"
"1045",5.30815508212763e-15,5.00764841857872,-21.037752381665,-1.59463960003178,-27.6380367340288,21.6886962411628
"1046",-7.26584122828317e-14,76.5614034185491,-2.72534389621435,-20.4451034721732,-53.535850170759,0.8926463724599
"1051",1.4873033190982e-14,7.11564974236128,-22.8955397856807,5.85442716587846,-16.5524193982027,-46.9444836439734
"1052",-1.89375769896048e-15,20.1159615373634,-9.7943302478299,-7.22667203836426,-25.7986911699679,-12.5172129951972
"1053",-6.05850967713902e-14,35.2039806337187,-8.0708761877961,-4.96685387710616,-26.2840499390139,-8.47450254632825
"1058",-2.98838480873442e-14,-2.18256857398016,-9.0370371697724,-10.3886444662327,-16.1606660621609,-14.6017497414999
"1056",-3.78135624158828e-14,24.0589563381503,-21.4030969299707,-6.53454626771068,-18.0357419744248,0.547028279960514
"1060",4.93527411593939e-14,-18.1861337360477,-4.36158494102721,-25.5140314587348,9.02088353740884,-60.5240256567475
"1062",-1.09906438894037e-13,-1.32584291310268,-13.7633004959166,16.4571721226132,-11.5737239682051,18.6796977337243
"1063",4.31077042616999e-14,8.8235024846474,-15.8596027771797,0.648352542398709,-4.71995535100937,-20.5110736874985
"1064",-3.75248109867672e-14,-0.229614231165215,-5.74409321198073,8.9834958028369,20.7190916453563,-0.654389196396107
"1065",-2.84341366679183e-14,14.8816019739099,-5.82816948253838,-15.4710269655915,-5.46305453206822,-25.7210709796827
"1068",-3.43341318763978e-14,-8.46359481845444,-16.3704847906895,8.37920964331471,11.0984715594606,21.528067143746
"1069",3.37494999868082e-14,-36.4867174204927,-57.6623369227571,7.00439226591679,-23.7016173236049,-22.7184366801454
"1070",1.53945553537272e-14,-13.7483253490219,17.5855943010656,9.77113441599096,-13.6813071273931,-44.1916371269698
"1071",1.67549804282357e-14,11.8039983985554,5.53877079615879,-17.3770741336595,5.35757090610621,2.63945668841155
"1072",-1.07081410754669e-14,-6.03937343785,10.2627979119606,-10.3629865342341,-2.76056557541148,21.2381934504937
"1073",4.10391340393606e-14,-46.3570358422456,-50.5267663034625,104.185862311732,6.85820714683734,11.5777916988764
"1076",6.44293368929614e-14,50.2921263418141,-50.216621435641,38.0418311386503,-14.3125525123983,-0.789242566373292
"1077",7.16010386333318e-14,32.1018845528958,-26.9587164542826,4.68996798024674,1.486219142039,-15.9725297998011
"1078",4.47967123897601e-14,52.2073213853834,-37.7847708300556,21.496403741891,8.07486203731218,8.80877026796575
"1079",-2.00510857164971e-15,17.7117478076045,-8.60488017667743,-18.4664945554937,36.9537065498478,-16.7216910629438
"1084",-1.13869806778045e-16,25.4296320705154,-14.9194198355522,5.35750576415401,3.96645842632672,31.7479079550232
"1085",3.832440057346e-14,8.90705253933441,-18.0262642552164,-12.2699105993374,-4.92197986518958,0.532636751486111
"1086",-2.78187155185984e-14,10.012412459976,-17.6755970075307,14.971324380708,-16.5514593320425,12.7910900877134
"1087",-3.0902157266572e-14,19.8724570098738,-52.421701112053,11.5370705598665,-26.2012243863968,-11.0601486541792
"1089",-4.04351196147601e-14,-2.01163786507644,6.20818551360335,-12.9382268011084,-0.74991614933678,-6.22348219151644
"1090",-2.33136396936677e-14,16.4733801330064,-32.0118699885808,-5.96256355453605,-28.8350945516463,-13.2559884064139
"1091",1.74247906713581e-14,9.47812537486522,2.89534932504245,-15.7368944179602,-13.3893640428846,16.2493334050128
"1092",1.00093938609901e-14,32.1575953638672,9.78254322548344,46.361523544941,-71.3199419790266,25.4382731499667
"1093",-5.44725888146e-14,-8.04289125022301,20.3138187697132,4.38444061157556,-9.10515468292794,-24.1458000348409
"1094",1.31007095362828e-14,-2.31078537276401,10.0640925935208,-3.56750656869545,12.052483246502,7.35969571871745
"1095",-3.40567399914985e-15,-1.37911178138534,6.89082017933806,3.64910838272521,-7.38435835609572,6.82271723640339
"1097",-1.15364370005656e-13,20.0094645525812,5.93041982981746,-27.5231998095458,11.7146492264413,-10.8201608149184
"1098",-1.10361615416704e-14,1.27768960786297,-1.41842809165671,4.56372070398869,-20.9540671343956,0.800650189970468
"1101",8.06767696340855e-15,44.5897896006739,-24.6734069601971,19.2806183561702,-27.2340375655764,18.1926548240946
"1102",-4.92842669597832e-15,21.6740080654627,-32.0174894354993,1.63873379827072,-9.83199092846626,-12.0172619228584
"1103",1.57560141350452e-14,7.66587803441199,-52.0739853375508,14.555262556629,-20.2372687989873,22.0444930462369
"1104",5.55457631172115e-14,6.9721619259166,-6.76837346152426,13.7278268875181,-1.1825017351876,-8.88969886199507
"1105",-3.61863297379319e-14,29.1729133885494,29.7396284597065,19.5105818044298,-11.9751204653519,-11.6121225265952
"1106",-3.59710429453777e-14,-1.24171798793663,-15.2257480883287,27.2641651985405,16.7045132119091,-5.94624555798855
"1107",2.27957893962784e-14,9.929893450157,-24.1868311097192,5.43017467492967,28.4578274466791,-21.7063575589167
"1108",-2.45171693582346e-15,-7.00888333218952,-18.6859376532762,16.8099136835765,12.4231307630869,28.9022249638476
"1109",-7.11500814935689e-14,-18.4600588075643,1.20945574228007,-2.41155072199625,42.4104361059856,30.653397330664
"1110",-5.28025513233658e-14,12.9290332593638,37.3325782972016,24.1818948801346,7.97796638271528,23.4582059768777
"1112",8.18543041272503e-15,6.26836016445069,-13.0368279664002,-3.12263751438997,-1.32222674642215,8.27123765348067
"1113",-1.22795770458475e-14,-14.6724654887302,-14.1756486239988,2.52668548652055,-3.43870241635743,-8.16530114308428
"2002",-6.36972843978588e-15,12.411017898689,-6.37037334493043,-6.88901967563162,24.7955769628129,10.3954774381144
"2003",4.46570176213673e-14,29.9742528901931,-15.2677801947869,11.830876578533,-9.13824944402437,-13.9693855159426
"2007",-2.22693356742996e-14,19.2926233270498,-8.6929474640047,10.3960922827882,-13.1449091527417,11.1676954912514
